experimentID,set id,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num,Standard deviation,Average
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.06583762168884,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.18ms,9.0207s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.12470841407775,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.41ms,9.0576s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.04005527496337,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.36ms,9.0172s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.04005193710327,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.13ms,9.0175s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.04217386245727,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.97ms,9.0213s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.08387327194213,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.89ms,9.0644s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.1458146572113,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.17ms,9.0229s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.04614186286926,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.66ms,9.0248s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.04266667366027,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.29ms,9.0216s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.04662370681762,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.32ms,9.0214s,2,,
1571978908-0,0,i-05dcc4bf10c89da31,m5d.large,9.04161381721496,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.92ms,9.0209s,2,,
